timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/05/26 19:04:31.504, 0, NVIDIA GeForce GTX 1070, 2 %, 855 MiB
2026/05/26 19:04:32.520, 0, NVIDIA GeForce GTX 1070, 2 %, 856 MiB
2026/05/26 19:04:33.534, 0, NVIDIA GeForce GTX 1070, 2 %, 863 MiB
2026/05/26 19:04:34.550, 0, NVIDIA GeForce GTX 1070, 2 %, 863 MiB
2026/05/26 19:04:35.551, 0, NVIDIA GeForce GTX 1070, 2 %, 864 MiB
2026/05/26 19:04:36.566, 0, NVIDIA GeForce GTX 1070, 2 %, 864 MiB
2026/05/26 19:04:37.570, 0, NVIDIA GeForce GTX 1070, 2 %, 859 MiB
2026/05/26 19:04:38.575, 0, NVIDIA GeForce GTX 1070, 3 %, 859 MiB
2026/05/26 19:04:39.576, 0, NVIDIA GeForce GTX 1070, 3 %, 859 MiB
2026/05/26 19:04:40.581, 0, NVIDIA GeForce GTX 1070, 60 %, 2358 MiB
2026/05/26 19:04:41.596, 0, NVIDIA GeForce GTX 1070, 2 %, 3070 MiB
2026/05/26 19:04:42.605, 0, NVIDIA GeForce GTX 1070, 2 %, 3066 MiB
2026/05/26 19:04:43.617, 0, NVIDIA GeForce GTX 1070, 2 %, 3066 MiB
2026/05/26 19:04:44.628, 0, NVIDIA GeForce GTX 1070, 2 %, 3066 MiB
2026/05/26 19:04:45.633, 0, NVIDIA GeForce GTX 1070, 2 %, 3066 MiB
2026/05/26 19:04:46.644, 0, NVIDIA GeForce GTX 1070, 2 %, 3066 MiB
2026/05/26 19:04:47.655, 0, NVIDIA GeForce GTX 1070, 2 %, 3065 MiB
2026/05/26 19:04:48.662, 0, NVIDIA GeForce GTX 1070, 2 %, 3065 MiB
2026/05/26 19:04:49.674, 0, NVIDIA GeForce GTX 1070, 2 %, 3065 MiB
2026/05/26 19:04:50.683, 0, NVIDIA GeForce GTX 1070, 2 %, 3062 MiB
2026/05/26 19:04:51.694, 0, NVIDIA GeForce GTX 1070, 2 %, 3062 MiB
2026/05/26 19:04:52.707, 0, NVIDIA GeForce GTX 1070, 2 %, 3062 MiB
2026/05/26 19:04:53.717, 0, NVIDIA GeForce GTX 1070, 2 %, 3062 MiB
2026/05/26 19:04:54.724, 0, NVIDIA GeForce GTX 1070, 3 %, 3072 MiB
2026/05/26 19:04:55.731, 0, NVIDIA GeForce GTX 1070, 2 %, 3072 MiB
2026/05/26 19:04:56.731, 0, NVIDIA GeForce GTX 1070, 2 %, 867 MiB
2026/05/26 19:04:57.740, 0, NVIDIA GeForce GTX 1070, 2 %, 867 MiB
2026/05/26 19:04:58.755, 0, NVIDIA GeForce GTX 1070, 2 %, 866 MiB
2026/05/26 19:04:59.763, 0, NVIDIA GeForce GTX 1070, 2 %, 864 MiB
2026/05/26 19:05:00.777, 0, NVIDIA GeForce GTX 1070, 2 %, 861 MiB
2026/05/26 19:05:01.785, 0, NVIDIA GeForce GTX 1070, 2 %, 856 MiB
2026/05/26 19:05:02.794, 0, NVIDIA GeForce GTX 1070, 2 %, 866 MiB
2026/05/26 19:05:03.806, 0, NVIDIA GeForce GTX 1070, 2 %, 863 MiB
2026/05/26 19:05:04.818, 0, NVIDIA GeForce GTX 1070, 2 %, 858 MiB
2026/05/26 19:05:05.829, 0, NVIDIA GeForce GTX 1070, 2 %, 858 MiB
2026/05/26 19:05:06.842, 0, NVIDIA GeForce GTX 1070, 2 %, 857 MiB
2026/05/26 19:05:07.852, 0, NVIDIA GeForce GTX 1070, 2 %, 855 MiB
2026/05/26 19:05:08.862, 0, NVIDIA GeForce GTX 1070, 3 %, 868 MiB
2026/05/26 19:05:09.876, 0, NVIDIA GeForce GTX 1070, 3 %, 868 MiB
2026/05/26 19:05:10.885, 0, NVIDIA GeForce GTX 1070, 2 %, 863 MiB
2026/05/26 19:05:11.894, 0, NVIDIA GeForce GTX 1070, 2 %, 867 MiB
2026/05/26 19:05:12.899, 0, NVIDIA GeForce GTX 1070, 2 %, 867 MiB
2026/05/26 19:05:13.908, 0, NVIDIA GeForce GTX 1070, 2 %, 857 MiB
2026/05/26 19:05:14.913, 0, NVIDIA GeForce GTX 1070, 2 %, 857 MiB
2026/05/26 19:05:15.927, 0, NVIDIA GeForce GTX 1070, 2 %, 857 MiB
2026/05/26 19:05:16.929, 0, NVIDIA GeForce GTX 1070, 2 %, 856 MiB
2026/05/26 19:05:17.933, 0, NVIDIA GeForce GTX 1070, 2 %, 856 MiB
2026/05/26 19:05:18.939, 0, NVIDIA GeForce GTX 1070, 2 %, 862 MiB
2026/05/26 19:05:19.949, 0, NVIDIA GeForce GTX 1070, 2 %, 862 MiB
2026/05/26 19:05:20.956, 0, NVIDIA GeForce GTX 1070, 2 %, 860 MiB
2026/05/26 19:05:21.964, 0, NVIDIA GeForce GTX 1070, 2 %, 861 MiB
2026/05/26 19:05:22.973, 0, NVIDIA GeForce GTX 1070, 2 %, 859 MiB
2026/05/26 19:05:23.983, 0, NVIDIA GeForce GTX 1070, 2 %, 858 MiB
2026/05/26 19:05:24.990, 0, NVIDIA GeForce GTX 1070, 2 %, 864 MiB
2026/05/26 19:05:25.999, 0, NVIDIA GeForce GTX 1070, 2 %, 864 MiB
2026/05/26 19:05:27.011, 0, NVIDIA GeForce GTX 1070, 2 %, 859 MiB
